"filename", "language", "Shell Script", "Markdown", "pip requirements", "JavaScript JSX", "Python", "JavaScript", "JSON", "PostCSS", "HTML", "comment", "blank", "total"
"c:\HRMS\frontend\src\modules\leaves\Leaves.jsx", "JavaScript JSX", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"c:\HRMS\frontend\src\modules\orgchart\OrgChart.jsx", "JavaScript JSX", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"c:\HRMS\frontend\src\modules\payroll\Payroll.jsx", "JavaScript JSX", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"c:\HRMS\frontend\src\modules\settings\Settings.jsx", "JavaScript JSX", 0, 0, 0, 153, 0, 0, 0, 0, 0, 2, 15, 170
"c:\HRMS\frontend\src\pages\AdvancedSearchPage.jsx", "JavaScript JSX", 0, 0, 0, 209, 0, 0, 0, 0, 0, 8, 16, 233
"c:\HRMS\frontend\src\pages\AppearancePage.jsx", "JavaScript JSX", 0, 0, 0, 195, 0, 0, 0, 0, 0, 11, 14, 220
"c:\HRMS\frontend\src\pages\AssistantPage.jsx", "JavaScript JSX", 0, 0, 0, 32, 0, 0, 0, 0, 0, 1, 3, 36
"c:\HRMS\frontend\src\pages\AttendancePage.jsx", "JavaScript JSX", 0, 0, 0, 327, 0, 0, 0, 0, 0, 9, 26, 362
"c:\HRMS\frontend\src\pages\AuditPage.jsx", "JavaScript JSX", 0, 0, 0, 70, 0, 0, 0, 0, 0, 1, 4, 75
"c:\HRMS\frontend\src\pages\BenefitsPage.jsx", "JavaScript JSX", 0, 0, 0, 24, 0, 0, 0, 0, 0, 1, 2, 27
"c:\HRMS\frontend\src\pages\ComingSoonPage.jsx", "JavaScript JSX", 0, 0, 0, 86, 0, 0, 0, 0, 0, 5, 7, 98
"c:\HRMS\frontend\src\pages\CompanyDocumentsPage.jsx", "JavaScript JSX", 0, 0, 0, 429, 0, 0, 0, 0, 0, 8, 31, 468
"c:\HRMS\frontend\src\pages\CorrespondencesPage.jsx", "JavaScript JSX", 0, 0, 0, 81, 0, 0, 0, 0, 0, 2, 6, 89
"c:\HRMS\frontend\src\pages\Dashboard.jsx", "JavaScript JSX", 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 6, 98
"c:\HRMS\frontend\src\pages\DashboardPage.jsx", "JavaScript JSX", 0, 0, 0, 205, 0, 0, 0, 0, 0, 14, 16, 235
"c:\HRMS\frontend\src\pages\DataEntryPage.jsx", "JavaScript JSX", 0, 0, 0, 178, 0, 0, 0, 0, 0, 4, 14, 196
"c:\HRMS\frontend\src\pages\DataImportPage.jsx", "JavaScript JSX", 0, 0, 0, 191, 0, 0, 0, 0, 0, 8, 12, 211
"c:\HRMS\frontend\src\pages\DeductionsPage.jsx", "JavaScript JSX", 0, 0, 0, 24, 0, 0, 0, 0, 0, 1, 2, 27
"c:\HRMS\frontend\src\pages\DefinitionsPage.jsx", "JavaScript JSX", 0, 0, 0, 120, 0, 0, 0, 0, 0, 3, 8, 131
"c:\HRMS\frontend\src\pages\EmployeeForm.jsx", "JavaScript JSX", 0, 0, 0, 549, 0, 0, 0, 0, 0, 1, 43, 593
"c:\HRMS\frontend\src\pages\EmployeeListPage.jsx", "JavaScript JSX", 0, 0, 0, 217, 0, 0, 0, 0, 0, 3, 12, 232
"c:\HRMS\frontend\src\pages\EmployeeProfilePage.jsx", "JavaScript JSX", 0, 0, 0, 181, 0, 0, 0, 0, 0, 8, 13, 202
"c:\HRMS\frontend\src\pages\FinanceReportsPage.jsx", "JavaScript JSX", 0, 0, 0, 103, 0, 0, 0, 0, 0, 1, 7, 111
"c:\HRMS\frontend\src\pages\LeavePage.jsx", "JavaScript JSX", 0, 0, 0, 290, 0, 0, 0, 0, 0, 8, 23, 321
"c:\HRMS\frontend\src\pages\LoansPage.jsx", "JavaScript JSX", 0, 0, 0, 260, 0, 0, 0, 0, 0, 1, 23, 284
"c:\HRMS\frontend\src\pages\Login.jsx", "JavaScript JSX", 0, 0, 0, 303, 0, 0, 0, 0, 0, 9, 22, 334
"c:\HRMS\frontend\src\pages\OrgChartPage.jsx", "JavaScript JSX", 0, 0, 0, 461, 0, 0, 0, 0, 0, 12, 31, 504
"c:\HRMS\frontend\src\pages\PayslipsPage.jsx", "JavaScript JSX", 0, 0, 0, 26, 0, 0, 0, 0, 0, 1, 2, 29
"c:\HRMS\frontend\src\pages\PhonebookPage.jsx", "JavaScript JSX", 0, 0, 0, 270, 0, 0, 0, 0, 0, 5, 18, 293
"c:\HRMS\frontend\src\pages\ReportsPage.jsx", "JavaScript JSX", 0, 0, 0, 362, 0, 0, 0, 0, 0, 20, 31, 413
"c:\HRMS\frontend\src\pages\RequestsPage.jsx", "JavaScript JSX", 0, 0, 0, 181, 0, 0, 0, 0, 0, 1, 11, 193
"c:\HRMS\frontend\src\pages\ScoringPage.jsx", "JavaScript JSX", 0, 0, 0, 190, 0, 0, 0, 0, 0, 4, 15, 209
"c:\HRMS\frontend\src\pages\SupplementaryInsurancePage.jsx", "JavaScript JSX", 0, 0, 0, 286, 0, 0, 0, 0, 0, 5, 16, 307
"c:\HRMS\frontend\src\pages\UsersPage.jsx", "JavaScript JSX", 0, 0, 0, 276, 0, 0, 0, 0, 0, 5, 13, 294
"c:\HRMS\hrms_project\attendance\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\HRMS\hrms_project\attendance\apps.py", "Python", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
"c:\HRMS\hrms_project\attendance\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 37, 0, 0, 0, 0, 1, 7, 45
"c:\HRMS\hrms_project\attendance\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\HRMS\hrms_project\attendance\models.py", "Python", 0, 0, 0, 0, 46, 0, 0, 0, 0, 2, 6, 54
"c:\HRMS\hrms_project\attendance\serializers.py", "Python", 0, 0, 0, 0, 26, 0, 0, 0, 0, 2, 4, 32
"c:\HRMS\hrms_project\attendance\urls.py", "Python", 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 2, 11
"c:\HRMS\hrms_project\attendance\views.py", "Python", 0, 0, 0, 0, 126, 0, 0, 0, 0, 14, 25, 165
"c:\HRMS\hrms_project\core\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\HRMS\hrms_project\core\admin.py", "Python", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 6, 41
"c:\HRMS\hrms_project\core\apps.py", "Python", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
"c:\HRMS\hrms_project\core\engines\__init__.py", "Python", 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 0, 5
"c:\HRMS\hrms_project\core\engines\analytics_engine.py", "Python", 0, 0, 0, 0, 417, 0, 0, 0, 0, 74, 64, 555
"c:\HRMS\hrms_project\core\engines\assistant_charts.py", "Python", 0, 0, 0, 0, 88, 0, 0, 0, 0, 8, 21, 117
"c:\HRMS\hrms_project\core\engines\assistant_engine.py", "Python", 0, 0, 0, 0, 972, 0, 0, 0, 0, 112, 179, 1263
"c:\HRMS\hrms_project\core\engines\authentication_engine.py", "Python", 0, 0, 0, 0, 90, 0, 0, 0, 0, 60, 19, 169
"c:\HRMS\hrms_project\core\engines\company_engine.py", "Python", 0, 0, 0, 0, 76, 0, 0, 0, 0, 93, 15, 184
"c:\HRMS\hrms_project\core\engines\encryption_engine.py", "Python", 0, 0, 0, 0, 52, 0, 0, 0, 0, 23, 10, 85
